callsign,count
Unknown,809
 Inc.,20
 S.A.,15
 ,11
 S.A. de C.V.,5
 S.L.,3
Rainbow Air,3
AFRICOMPANY,2
FIREFLY,2
CATOVAIR,2
DVINA,2
ANGOLA CHARTER,2
AIR PARTNER,2
ALPAV,2
ALLIED,2
PHOENIX,2
TYROLEAN,2
ABEX,2
CANADIAN,2
AIR ANDAMAN,2
GREEN BIRD,2
SUNEXPRESS,2
FLYING CARPET,2
PELICAN,2
NATIONAL,2
ALUNK,2
ERAH,2
LINK,2
REVAL,2
Mandarin,2
BEAUTY,2
ENTERPRISE LUHANSK,2
KESTREL,2
ROYAL NEPAL,2
SKYJET,2
INTERJET,2
SKYFOX,2
RELAX,2
EXPRESSWAYS,2
SKYKING,2
SIAM,2
VIRGIN,2
GOUMRAK,2
GEO-LINE,2
OA,2
GO CAT,2
AIGLE AZUR,1
ALOHA,1
ALASKA ISLAND,1
AMERICAN,1
AM CORP,1
ATLANTIS AIR,1
AEROVISTA GROUP,1
ASIANA,1
AL-AAS,1
AUSTASIA,1
ASTRO-PHIL,1
AFRIQIYAH,1
ABG,1
ALLEGIANT,1
ANGUS,1
ARTEM-AVIA,1
AFRICAN BUSINESS-,1
ABAN,1
SKYWINGS,1
ABAKAN-AVIA,1
ABSA Cargo,1
Abaet,1
ALBERTA CITYLINK,1
AEROEXPRESO,1
AEROBUENO,1
 Escuela de Formacion de Pioltos Privados de Avion,1
ANTRAK,1
ATA-BRAZIL,1
ACADEMY,1
AERO COMONDU,1
ASTRAL CARGO,1
BOREALIS,1
AFRISPIRIT,1
AERO ASIA,1
PARAIR,1
AIR TOGO,1
AIR SOMALIA,1
ATLAS CARGOLINES,1
AUSCAL,1
ANTONOV BUREAU,1
ATLAN-DOMINICAN,1
ADA AIR,1
AEREA TRAINING,1
AUDELI,1
ABICAR,1
ADCO,1
COTSWOLD,1
DOMINAIR,1
AERODIENST,1
AERODIPLOMATIC,1
AERODYNE,1
AIR DATA,1
ADRIA,1
SONORAV,1
AIR DORVAL,1
AIRDEAL,1
ADVANCE,1
ANDAX,1
EUROPA,1
AIRSOUTHWEST,1
AIRSPEC,1
AEROBEN,1
 Aerovias Del Cesar,1
AEGEAN,1
FUMIGACIONES SAM,1
INTERAM,1
KHAKI EXPRESS,1
AEROCON,1
AEROMADRID,1
AERO OCCIDENTE,1
AEROTEC,1
ATLANTIC,1
AIR EUROPE,1
AIR ALMA,1
LUNA,1
ACE AIR,1
ACES,1
AEROTHAI,1
FLYSTAR,1
AEROVENTAS,1
AEROSVIT,1
AVCO,1
AIR ITALY,1
AERIAL TRANZ,1
BLUE ALFA,1
AMERICAN FALCON,1
UNITY,1
UNI-LEONE,1
AUVIA,1
AFRICAN WEST,1
AIRFAST,1
ARIANA,1
FECTO,1
AFRICAWORLD,1
JAMBO,1
AFRICA LINKS,1
AEROFLOT,1
AERO EMPRESA,1
AIR BOSNA,1
AIR BRAVO,1
BRASD'OR,1
BOOMERANG,1
ALBA,1
AIRFRANS,1
AIRCALIN,1
WEST CAL,1
AIR GUAM,1
GOLF NOVEMBER,1
AFRIQUE VACANCE,1
PEGASUS,1
AIR ANGOL,1
REGAL EAGLE,1
NIGHT CARGO,1
ARSAM,1
AIR SENEGAL,1
AIR SANDY,1
NAMIBIA,1
INTERSALONIKA,1
AIR ANATOLIA,1
AIR SAIGON,1
AFRAIR,1
AFRICA CHARTERED,1
AFREIGHT,1
AGRICO,1
ATLANTIC GULF,1
COSTERA,1
ALGOMA,1
ALTAGNA,1
AIR TARA,1
GALASERVICE,1
AMADEUS,1
SARMA,1
AIR GLACIERS,1
AERO GAMBIA,1
GENEX,1
BLUE RIDGE,1
AEROLOZ,1
Aeroperu,1
ATLAS BLUE,1
AEROBANOBRAS,1
FLIGHT GROUP,1
AGROLET,1
AIR ALPHA,1
AZALAVIACARGO,1
 Muller & Co.,1
BIRD JET,1
ASPEN,1
AEROCHAGO,1
AIRHOLD,1
AIR HONG KONG,1
AEROCHIAPAS,1
ADRIATIC,1
AIRSAR,1
ABC HUNGARY,1
AEROMIST,1
AZAL,1
AVIES,1
AIRBUS INDUSTRIE,1
ALPINE CHILE,1
INTEGRA,1
ABC AEROLINEAS,1
AFRICAN AIRLINES,1
FLY CARGO,1
ALPINE AIR,1
ALIA,1
BAIR,1
PAKBLUE,1
THAI AIRMARK,1
AIRLIFT,1
AIR BAFFIN,1
BANDAMA,1
AIR BERLIN,1
AIR BROUSSE,1
CONTRACT,1
AIR ILLINOIS,1
AIRINDIA,1
BOURBON,1
ATLANTA,1
AIR INUIT,1
SURESTE,1
Air Srpska,1
TAHITI AIRLINES,1
AIRVIAS,1
BIRD EXPRESS,1
TARTAN,1
CRUISER,1
AIRCREW,1
ARKIA,1
AYJAY SERVICES,1
AERO JBR,1
JET EXPRESS,1
AVIACONSULT,1
AMERISTAR,1
ATLANTIC JET,1
BAMBI,1
JAMAICA,1
HERON,1
SAHARA,1
AIR MALTA,1
AEROEXO,1
AEROJETS,1
AEROEJECUTIVOS,1
AMERIJET,1
AIRJETSUL,1
AYJAY CARGO,1
ALPHAJET,1
AIR JAPAN,1
AYJET,1
LIVONIA,1
AIRCOACH,1
AIR JAMAHIRIYA,1
KARAB,1
ARCA,1
ANIKAY,1
AKHAL,1
AEROMIL,1
AKLAK,1
ALKAN AIR,1
ANGKORWAYS,1
ALFA WING,1
ABSOLUTE,1
ALBATROS,1
ALBION,1
AEROALAS,1
ACEFORCE,1
AEROLINEAS ALBATROS,1
AMERICAN FLYERS,1
AERO COACH,1
Chandler,1
BAVARIAN,1
AIRLOG,1
VALLARTA,1
ANTILLEAN,1
CHICAGO LINCOLN,1
CACTUS,1
AIR WISCONSIN,1
AEROUNION,1
TAXIS CESSNA,1
TEMPE,1
TATARSTAN,1
ALLEGHENY,1
ALPINER,1
ALTAIR,1
LUXORJET,1
ALVEN,1
ALYESKA,1
AIR SUNSHINE,1
ADIK,1
AEROLINEAS MEDELLIN,1
AMFLIGHT,1
KAUNAS,1
AIR MINAS,1
MANN,1
AIR MALDIVES,1
AVIATION AMOS,1
AMER AIR,1
MALAWI,1
AEROM,1
MONTENEGRO,1
AIR MONTREAL,1
ATSA,1
LIFELINE,1
AIR AM,1
AIR MUSKOKA,1
AMTRAN,1
AIR MACAO,1
AIR MIDWEST,1
SEYCHELLES,1
AIR SOFIA,1
AEROMEXICO,1
AIR AMBAR,1
AMIYA AIR,1
ALL NIPPON,1
AIR NAV,1
ANGLO,1
AIR NOSTRUM,1
NUIGINI,1
ARABIA,1
AIR CANADA,1
AEROBRA,1
ARBAS,1
AIRBALTIC,1
ALAJNIHAH,1
NIGALANTIC,1
ANK AIR,1
 Maintenance & Service GmbH,1
TOPEND,1
ANTIOQUIA,1
AEROANDES,1
AIR NORTH,1
AIR NEVADA,1
French Lines,1
NEW ZEALAND,1
TOBOL,1
SERVIEMPRESARIAL,1
AERO AVCOM,1
AERO CZECH,1
ATAIR,1
AVIP,1
AEROMUNDO,1
MURI,1
AEROMASTER,1
AERONORD,1
ANGKOR AIR,1
AERO ENTERPRISE,1
 Opened Joint Stock Company,1
AEROPILOTO,1
AEROENLACES,1
AEROVIZ,1
VISTA GULF,1
AIR VEGAS,1
ALMAVER,1
INTER-AFRO,1
ALIEXPRESS,1
ASIA OVERNIGHT,1
AIR TRACTOR,1
AEROVISION,1
AEROVALLE,1
CAN-AM,1
SERVIMONTE,1
AMAPOLA,1
AIR PEOPLE,1
 Lda.,1
BLACKJACK,1
AEROPETRO,1
Aero Fox,1
BAY JET,1
BARCOL,1
ALL CHARTER,1
AEROPRO,1
