icao,count
Unknown,273
IKA,2
ABL,2
BON,2
CDN,2
WDY,2
FOS,2
EJA,2
MMM,2
CAT,2
AGO,2
TYR,2
SCO,2
RAC,2
IJT,2
ABX,2
JAL,2
BUZ,2
SCW,2
MAI,2
NCN,2
NAL,2
RON,2
RNA,2
PAA,2
SRL,2
SRN,2
STU,2
ASL,2
SWR,2
SKI,2
TGW,2
WAL,2
SKV,2
LTU,2
AAF,1
AAH,1
AAK,1
AAL,1
AAM,1
AAO,1
AAP,1
AAR,1
AAS,1
AAU,1
AAA,1
AAW,1
AFU,1
AAX,1
AAY,1
AAZ,1
ABA,1
ABB,1
ABE,1
ABF,1
ABG,1
TUS,1
ABJ,1
ABK,1
ABO,1
ABU,1
ACR,1
ABV,1
ABZ,1
ACC,1
ACD,1
ACO,1
ACP,1
ACS,1
AAI,1
ACU,1
ACV,1
RSO,1
ACX,1
TGA,1
RSM,1
ACY,1
ADA,1
ADB,1
ADC,1
ADD,1
ADE,1
ADG,1
ADI,1
ADJ,1
ADK,1
ADL,1
ADM,1
ADN,1
ADP,1
ADY,1
ADQ,1
ADR,1
ADS,1
ADT,1
ADU,1
ADV,1
ADW,1
ADX,1
AEA,1
ASW,1
ASX,1
AEB,1
AEC,1
AED,1
AEE,1
AEG,1
AEI,1
AEJ,1
AEK,1
AEM,1
AEN,1
AEO,1
AEP,1
AAG,1
AEL,1
AAJ,1
AEQ,1
AER,1
AES,1
AET,1
AEU,1
AEV,1
AEW,1
AEX,1
AEY,1
AEZ,1
AFA,1
AFB,1
UTY,1
UVS,1
UVT,1
AFC,1
AFE,1
AFG,1
AFH,1
AFI,1
AFJ,1
AFK,1
AFL,1
AFO,1
BRF,1
BRL,1
BRM,1
AFQ,1
AFR,1
ACG,1
ACI,1
ACM,1
AGM,1
AGN,1
AFS,1
AFV,1
MVM,1
NGO,1
NGP,1
SNC,1
SND,1
SNG,1
SNY,1
NMB,1
NSK,1
NTL,1
SGA,1
AFW,1
AFX,1
AFY,1
AFZ,1
AGA,1
AGB,1
AGC,1
AGF,1
SLI,1
AGG,1
AGH,1
AGP,1
AGQ,1
AGT,1
AGU,1
AGV,1
AGW,1
AGX,1
BLR,1
BLZ,1
PLI,1
BMM,1
BNB,1
AGY,1
AGZ,1
AHA,1
AHC,1
AHE,1
CJE,1
AHF,1
AHG,1
AHH,1
AHK,1
AHP,1
AHR,1
AHS,1
AHU,1
AHW,1
AHY,1
AIA,1
AIB,1
AIH,1
AII,1
AIJ,1
AIK,1
