icao,count
AYGA,1
AYMD,1
AYMH,1
AYNZ,1
AYPY,1
AYWK,1
BGBW,1
BGGH,1
BGSF,1
BGTL,1
BIAR,1
BIEG,1
BIHN,1
BIHU,1
BIIS,1
BIKF,1
BIPA,1
BIRK,1
BISI,1
BIVM,1
CYAM,1
CYAV,1
CYAW,1
CYAY,1
CYAZ,1
CYBB,1
CYBC,1
CYBG,1
CYBK,1
CYBL,1
CYBR,1
CYCB,1
CYCD,1
CYCG,1
CYCH,1
CYCL,1
CYCO,1
CYCT,1
CYCW,1
CYCY,1
CYZS,1
CYDA,1
CYDB,1
CYDC,1
CYDF,1
CYDL,1
CYDN,1
CYDQ,1
CYEG,1
CYEK,1
CYEN,1
CYET,1
CYEU,1
CYEV,1
CYFB,1
CYFC,1
CYFE,1
CYFO,1
CYFR,1
CYFS,1
CYGK,1
CYGL,1
CYGP,1
CYGQ,1
CYGR,1
CYHB,1
CYHD,1
CYHI,1
CYHK,1
CYHM,1
CYHU,1
CYHY,1
CYHZ,1
CYIB,1
CYIO,1
CYJN,1
CYJT,1
CYKA,1
CYKF,1
CYKL,1
CYKY,1
CYKZ,1
CYLD,1
CYLJ,1
CYLL,1
CYLT,1
CYLW,1
CYMA,1
CYMJ,1
CYMM,1
CYMO,1
CYMW,1
CYMX,1
CYNA,1
CYND,1
CYNM,1
CYOC,1
CYOD,1
CYOJ,1
CYOW,1
CYPA,1
CYPE,1
CYPG,1
CYPK,1
CYPL,1
CYPN,1
CYPQ,1
CYPR,1
CYPY,1
CYQA,1
CYQB,1
CYQF,1
CYQG,1
CYQH,1
CYQK,1
CYQL,1
CYQM,1
CYQQ,1
CYQR,1
CYQT,1
CYQU,1
CYQV,1
CYQW,1
CYQX,1
CYQY,1
CYQZ,1
CYRB,1
CYRI,1
CYRJ,1
CYRM,1
CYRT,1
CYSB,1
CYSC,1
CYSJ,1
CYSM,1
CYSR,1
CYSU,1
CYSY,1
CYTE,1
CYTH,1
CYTR,1
CYTS,1
CYTZ,1
CYUB,1
CYUL,1
CYUT,1
CYUX,1
CYUY,1
CYVC,1
CYVG,1
CYVM,1
CYVO,1
CYVP,1
CYVQ,1
CYVR,1
CYVT,1
CYVV,1
CYWA,1
CYWG,1
CYWK,1
CYWL,1
CYWY,1
CYXC,1
CYXD,1
CYXE,1
CYXH,1
CYXJ,1
CYXL,1
CYXP,1
CYXR,1
CYXS,1
CYXT,1
CYXU,1
CYXX,1
CYXY,1
CYYB,1
CYYC,1
CYYD,1
CYYE,1
CYYF,1
CYYG,1
CYYH,1
CYYJ,1
CYYL,1
CYYN,1
CYYQ,1
CYYR,1
CYYT,1
CYYU,1
CYYW,1
CYYY,1
CYYZ,1
CYZD,1
CYZE,1
CYZF,1
CYZH,1
CYZP,1
CYZR,1
CYZT,1
CYZU,1
CYZV,1
CYZW,1
CYZX,1
CZFA,1
CZFM,1
DAAB,1
DAAD,1
DAAE,1
DAAG,1
DAAJ,1
DAAK,1
DAAN,1
DAAP,1
DAAQ,1
DAAT,1
DAAV,1
DAAY,1
DAAZ,1
DABB,1
DABC,1
DABS,1
DAFH,1
DAOB,1
DAOE,1
DAOF,1
DAOI,1
DAOL,1
DAON,1
DAOO,1
DAOS,1
DAOV,1
DAUA,1
DAUB,1
DAUE,1
DAUG,1
DAUH,1
DAUI,1
DAUK,1
DAUL,1
DAUT,1
DAUU,1
DAUZ,1
DBBB,1
DFFD,1
DFOO,1
DGAA,1
DGLE,1
DGLW,1
DGSN,1
DGTK,1
DIAP,1
DIBK,1
DIDL,1
DIKO,1
DIMN,1
DISP,1
DIYO,1
DNAA,1
DNAK,1
DNBE,1
DNCA,1
DNEN,1
DNGU,1
DNIB,1
DNIL,1
DNJO,1
DNKA,1
DNKN,1
DNMA,1
DNMK,1
DNMM,1
DNMN,1
DNPO,1
DNSO,1
DNYO,1
DNZA,1
DRRM,1
DRRN,1
DRRT,1
DRZA,1
DRZD,1
