name,count
Newcastle Airport,3
Santa Maria Airport,3
Capital City Airport,3
Linden Airport,2
San Luis Airport,2
Henderson Field,2
Melbourne International Airport,2
San Pedro Airport,2
San Fernando Airport,2
Nogales International Airport,2
La Florida Airport,2
Charlottetown Airport,2
Simón Bolívar International Airport,2
Faro Airport,2
St George Airport,2
El Dorado Airport,2
Santa Rosa Airport,2
Deer Lake Airport,2
Las Brujas Airport,2
Naha Airport,2
Pemba Airport,2
San Carlos Airport,2
Mae Hong Son Airport,2
Bathurst Airport,2
Redcliffe Airport,2
Santa Ana Airport,2
Tri Cities Airport,2
Flinders Island Airport,2
Santa Terezinha Airport,2
Douglas Municipal Airport,2
Arlington Municipal Airport,2
Victoria Airport,2
Lawrence Municipal Airport,2
Shelby County Airport,2
Cochrane Airport,2
Columbus Municipal Airport,2
Ísafjörður Airport,1
Keflavik International Airport,1
Patreksfjörður Airport,1
Reykjavik Airport,1
Siglufjörður Airport,1
Vestmannaeyjar Airport,1
Sault Ste Marie Airport,1
Winnipeg / St. Andrews Airport,1
Halifax / CFB Shearwater Heliport,1
St. Anthony Airport,1
Tofino / Long Beach Airport,1
Kugaaruk Airport,1
Baie Comeau Airport,1
CFB Bagotville,1
Baker Lake Airport,1
Campbell River Airport,1
Brandon Municipal Airport,1
Cambridge Bay Airport,1
Nanaimo Airport,1
Castlegar/West Kootenay Regional Airport,1
Miramichi Airport,1
Charlo Airport,1
Kugluktuk Airport,1
Coronation Airport,1
Chilliwack Airport,1
Clyde River Airport,1
Coral Harbour Airport,1
Dawson City Airport,1
Burwash Airport,1
Princeton Airport,1
Dease Lake Airport,1
Dauphin Barker Airport,1
Dawson Creek Airport,1
Edmonton International Airport,1
Arviat Airport,1
Estevan Airport,1
Edson Airport,1
Eureka Airport,1
Inuvik Mike Zubko Airport,1
Iqaluit Airport,1
Fredericton Airport,1
Forestville Airport,1
Flin Flon Airport,1
Fort Resolution Airport,1
Fort Simpson Airport,1
Kingston Norman Rogers Airport,1
La Grande Rivière Airport,1
Gaspé (Michel-Pouliot) Airport,1
Geraldton Greenstone Regional Airport,1
Îles-de-la-Madeleine Airport,1
Hudson Bay Airport,1
Dryden Regional Airport,1
Ulukhaktok Holman Airport,1
Gjoa Haven Airport,1
John C. Munro Hamilton International Airport,1
Montréal / Saint-Hubert Airport,1
Hay River / Merlyn Carter Airport,1
Halifax / Stanfield International Airport,1
Atikokan Municipal Airport,1
Pond Inlet Airport,1
St Jean Airport,1
Stephenville Airport,1
Kamloops Airport,1
Waterloo Airport,1
Schefferville Airport,1
Kindersley Airport,1
Buttonville Municipal Airport,1
Chapleau Airport,1
Meadow Lake Airport,1
Lloydminster Airport,1
Alert Airport,1
Kelowna International Airport,1
Mayo Airport,1
Moose Jaw Air Vice Marshal C. M. McEwen Airport,1
Fort McMurray Airport,1
Moosonee Airport,1
