tz_name,count
Unknown,919
America/New_York,447
America/Chicago,344
Europe/Berlin,222
Europe/Paris,208
America/Anchorage,175
Asia/Shanghai,168
America/Los_Angeles,166
Europe/London,153
America/Toronto,133
Asia/Calcutta,131
America/Denver,118
Asia/Tokyo,113
Africa/Johannesburg,93
America/Sao_Paulo,93
Australia/Brisbane,81
Asia/Tehran,78
Europe/Stockholm,76
Europe/Rome,74
Europe/Moscow,73
Europe/Istanbul,71
America/Bogota,67
America/Winnipeg,60
Asia/Manila,59
Europe/Oslo,58
America/Mexico_City,56
America/Vancouver,56
America/Caracas,56
Europe/Athens,55
Asia/Jakarta,52
Australia/Sydney,52
America/Edmonton,52
Europe/Madrid,50
Asia/Bangkok,50
Pacific/Auckland,49
Europe/Helsinki,49
Asia/Karachi,46
Africa/Algiers,43
Indian/Antananarivo,42
Asia/Riyadh,41
America/Fortaleza,41
Australia/Perth,41
Asia/Rangoon,41
Asia/Kuala_Lumpur,40
America/Lima,39
Asia/Makassar,38
Europe/Zurich,37
America/Santiago,37
America/Phoenix,36
Africa/Nairobi,34
America/Nassau,32
America/Guayaquil,32
Asia/Katmandu,31
America/Costa_Rica,31
Pacific/Efate,29
Europe/Warsaw,29
America/Boa_Vista,29
Africa/Addis_Ababa,29
America/Havana,28
Asia/Yekaterinburg,27
Europe/Kiev,27
Asia/Krasnoyarsk,26
Asia/Seoul,26
Europe/Copenhagen,26
Europe/Amsterdam,26
America/Halifax,25
America/La_Paz,25
Pacific/Tahiti,25
Pacific/Port_Moresby,25
America/Cordoba,24
Europe/Brussels,24
Europe/Prague,24
Asia/Saigon,24
Africa/Luanda,23
Asia/Taipei,23
Africa/Dar_es_Salaam,23
Pacific/Guadalcanal,23
Africa/Casablanca,22
Europe/Lisbon,22
Africa/Lagos,22
Africa/Cairo,21
Australia/Darwin,21
Asia/Jayapura,21
America/Belem,21
Australia/Hobart,20
Atlantic/Reykjavik,20
Australia/Adelaide,20
Pacific/Honolulu,19
Europe/Vienna,19
Europe/Bucharest,19
Asia/Kabul,19
Africa/Maputo,19
America/Paramaribo,19
America/Buenos_Aires,19
Asia/Yakutsk,18
America/Godthab,18
America/Regina,18
America/Argentina/Salta,18
Europe/Dublin,17
Asia/Jerusalem,17
Africa/Kinshasa,17
Africa/Tripoli,17
Asia/Qyzylorda,16
America/Campo_Grande,16
Asia/Dubai,16
Pacific/Fiji,16
Africa/Lubumbashi,16
Africa/Windhoek,14
Pacific/Tarawa,14
Africa/Harare,14
America/Santo_Domingo,13
America/Guyana,13
Africa/Libreville,13
Europe/Zagreb,13
America/Mazatlan,13
Africa/Khartoum,12
Asia/Samarkand,12
Africa/Tunis,12
Africa/Gaborone,12
America/Panama,12
Europe/Budapest,12
Asia/Vientiane,11
America/Managua,11
America/Tegucigalpa,11
Africa/Nouakchott,11
Asia/Irkutsk,11
Asia/Colombo,11
Asia/Aden,11
Pacific/Noumea,11
Asia/Srednekolymsk,10
Africa/Lusaka,10
Asia/Dhaka,10
America/Puerto_Rico,10
Africa/Douala,10
Asia/Baghdad,10
America/St_Johns,9
Asia/Vladivostok,9
America/Argentina/Rio_Gallegos,9
America/Guatemala,9
Atlantic/Azores,9
Asia/Ulaanbaatar,9
Africa/Dakar,9
Europe/Tallinn,9
Africa/Kampala,8
Antarctica/South_Pole,8
Pacific/Majuro,8
Pacific/Rarotonga,8
America/Montevideo,8
Europe/Bratislava,8
America/Catamarca,8
Africa/Mogadishu,8
Atlantic/Canary,8
Europe/Minsk,8
America/Asuncion,8
Asia/Anadyr,8
Europe/Vilnius,8
Asia/Phnom_Penh,8
Africa/Bamako,8
Indian/Mahe,7
Australia/Melbourne,7
Atlantic/Cape_Verde,7
Africa/Blantyre,7
