source_airport,dest_airport,num_airlines,distance_km
ORD,ATL,20,974.9571337646748
ATL,ORD,19,974.9571337646748
HKT,BKK,13,670.7029421872917
ORD,MSY,13,1346.5442990403358
HKG,BKK,12,1688.5379165773436
CAN,HGH,12,1037.2589219009517
AUH,MCT,12,381.1623184093988
ATL,MIA,12,956.9183916572741
BKK,HKG,12,1688.5379165773436
DOH,BAH,12,
MIA,ATL,12,956.9183916572741
LHR,JFK,12,5554.539947005535
JFK,LHR,12,5554.539947005535
CNX,BKK,11,594.222862983595
SYD,AKL,11,2164.202391403039
MSY,JFK,11,1902.460901349184
SFO,ATL,11,3442.220346212732
ATL,DEN,11,1930.017679735571
MCT,AUH,11,381.1623184093988
JFK,MSY,11,1902.460901349184
LHR,LAX,11,8780.64641018434
JFK,CDG,11,5849.319990183726
HRE,LUN,11,402.71832068919616
DEN,ATL,11,1930.017679735571
CDG,JFK,11,5849.319990183726
LAX,LHR,11,8780.64641018434
KGL,EBB,11,339.41747137456827
ATL,DFW,11,1177.0065746624557
ICN,NRT,10,1259.634575619821
CMB,MLE,10,777.6349669440341
BKK,CNX,10,594.222862983595
ICN,HKG,10,2066.8840953006597
ICN,BKK,10,3664.8664872849668
HGH,DLC,10,974.403213698638
DLC,HGH,10,974.403213698638
TPE,NRT,10,2182.118754278892
MLE,CMB,10,777.6349669440341
KMG,JHG,10,411.16817643398144
CGO,HGH,10,781.523159476907
BKK,SIN,10,1409.8825672027128
CGK,SIN,10,878.0045162976821
XIY,CKG,10,560.7937753215605
HKG,ICN,10,2066.8840953006597
NRT,TPE,10,2182.118754278892
DFW,ATL,10,1177.0065746624557
ORD,CDG,10,6682.5856279597965
CDG,ORD,10,6682.5856279597965
AKL,SYD,10,2164.202391403039
JHG,KMG,10,411.16817643398144
SFO,LHR,10,8638.229297103255
MXP,JFK,10,6429.708446545716
KUL,CGK,10,1124.5182405498645
LHR,SFO,10,8638.229297103255
BAH,DOH,10,
SIN,DPS,10,1668.395247752397
DPS,SIN,10,1668.395247752397
SIN,KUL,10,297.2664240970582
HGH,CAN,10,1037.2589219009517
BKK,ICN,10,3664.8664872849668
BKK,HKT,10,670.7029421872917
SIN,CGK,10,878.0045162976821
CKG,XIY,10,560.7937753215605
JFK,MXP,10,6429.708446545716
NRT,ICN,10,1259.634575619821
KUL,SIN,10,297.2664240970582
HGH,CGO,10,781.523159476907
CGK,KUL,10,1124.5182405498645
ATL,JFK,10,1222.839898188452
ATL,LAX,10,3132.519452383441
ACE,LGW,9,2708.1679439256723
PHL,ATL,9,1072.1474604025968
KMG,CTU,9,615.1123388694557
SYD,SIN,9,6287.956823685578
CNS,BNE,9,1387.727702219915
HGH,TAO,9,669.5385604147659
MAD,JFK,9,5776.760473192509
URC,CGO,9,2489.9585137317545
CDG,MIA,9,7384.748890411447
BKK,KUL,9,1214.101056129579
XMN,NKG,9,800.9449337626169
FRA,DFW,9,8277.379448666898
DUB,JFK,9,5116.571208825092
CPT,JNB,9,1270.5714572858112
JAX,ATL,9,433.9881363417478
CTU,HGH,9,1583.345814710534
ATL,RDU,9,573.0221674185208
XNN,XIY,9,650.898095997677
BNE,SIN,9,6140.612046201681
ATL,IAD,9,859.2343872830228
LAX,ATL,9,3132.519452383441
XIY,URC,9,2108.2826021336286
ATL,JAX,9,433.9881363417478
ATL,MSY,9,683.8121776636893
JNB,CPT,9,1270.5714572858112
IAD,ATL,9,859.2343872830228
ATL,IAH,9,1109.1148362341874
ATL,CUN,9,1416.9710450238529
ATL,IND,9,695.0407044609929
CTU,KMG,9,615.1123388694557
DFW,FRA,9,8277.379448666898
RDU,ATL,9,573.0221674185208
KMG,CKG,9,629.6399572103032
IAH,ATL,9,1109.1148362341874
ORD,LHR,9,6361.433239132674
KUL,BKK,9,1214.101056129579
CGO,URC,9,2489.9585137317545
URC,XIY,9,2108.2826021336286
TAO,HGH,9,669.5385604147659
LAS,LAX,9,380.17011481562815
TAO,SHE,9,654.4837449405308
XIY,XNN,9,650.898095997677
KHG,URC,9,1067.9213773052686
URC,KHG,9,1067.9213773052686
SJC,LAX,9,495.556670787488
SIN,BKK,9,1409.8825672027128
JFK,BCN,9,6165.91292802025
JFK,DUB,9,5116.571208825092
MSY,LAX,9,2688.0362036232004
LGW,ACE,9,2708.1679439256723
HNL,LAX,9,4113.282691749681
SHE,TAO,9,654.4837449405308
LAX,NRT,9,8772.757201392194
LAX,LAS,9,380.17011481562815
ATL,SFO,9,3442.220346212732
LHW,URC,9,1596.6983077666891
BOS,LHR,9,5254.214721679108
SIN,SYD,9,6287.956823685578
LAX,MSY,9,2688.0362036232004
ATL,PHL,9,1072.1474604025968
ATL,PHX,9,2554.5462924329013
LHR,ORD,9,6361.433239132674
