airline,airline_id,source_airport,source_airport_id,dest_airport,dest_airport_id,stops,equipment
2O,146.0,AOS,7167.0,KZB,7176.0,0,BNI
2O,146.0,KKB,7168.0,SYB,7173.0,0,BNI
2O,146.0,KOZ,7164.0,ORI,7165.0,0,BNI
2O,146.0,SYB,7173.0,KPR,7172.0,0,BNI
2P,897.0,CGY,2400.0,MNL,2397.0,0,320
3F,16262.0,CGA,7144.0,HYL,7145.0,0,DHP
3F,16262.0,CGA,7144.0,KTN,3808.0,0,DHP
3F,16262.0,HYL,7145.0,CGA,7144.0,0,DHP
3F,16262.0,HYL,7145.0,KTB,7147.0,0,DHP
3F,16262.0,HYL,7145.0,KTN,3808.0,0,DHP
3F,16262.0,KTB,7147.0,HYL,7145.0,0,DHP
3F,16262.0,KTB,7147.0,KTN,3808.0,0,DHP
3F,16262.0,MTM,7146.0,KTN,3808.0,0,DHP
3U,4608.0,JIQ,8781.0,CTU,3395.0,0,320
3U,4608.0,NTG,5475.0,WUH,3376.0,0,319
3U,4608.0,PZI,6435.0,CKG,3393.0,0,319
3U,4608.0,PZI,6435.0,CTU,3395.0,0,319
3U,4608.0,TVS,8858.0,TYN,3369.0,0,319
4E,Unknown,TCT,7215.0,TLJ,3423.0,0,PAG
4Q,10758.0,ISB,2223.0,HEA,2048.0,0,319
4Q,10758.0,ISB,2223.0,KBL,2050.0,0,319
4W,Unknown,CXF,7119.0,AKP,6712.0,0,PA2
4W,Unknown,MNT,7110.0,FAI,3832.0,0,CN1
4W,Unknown,RMP,7112.0,FAI,3832.0,0,CN1
4W,Unknown,SVS,9741.0,FAI,3832.0,0,PA2
4W,Unknown,SVS,9741.0,WBQ,7115.0,0,PA2
4W,Unknown,TAL,7113.0,FAI,3832.0,0,PA2
4Y,1173.0,ATT,4385.0,KUK,7094.0,0,CNA
4Y,1173.0,GNU,8202.0,PTU,3430.0,0,CNA
4Y,1173.0,KKI,9742.0,AKI,7217.0,0,CNA
4Y,1173.0,NUP,7212.0,BET,3599.0,0,CNA
4Y,1173.0,PQS,7216.0,BET,3599.0,0,CNA
4Y,1173.0,TLT,7218.0,BET,3599.0,0,CNA
4Y,1173.0,TNK,8201.0,WWT,8203.0,0,CNA
4Y,1173.0,WTL,7099.0,KKH,7213.0,0,CNA
4Y,1173.0,WWT,8203.0,BET,3599.0,0,CNA
5C,1581.0,TNO,5844.0,LIR,1881.0,0,DHT
5C,1581.0,TNO,5844.0,SJO,1885.0,0,DHT
5J,1683.0,CGY,2400.0,BCD,2423.0,0,ATR
5J,1683.0,CGY,2400.0,CEB,4206.0,0,320 ATR 319
5J,1683.0,CGY,2400.0,DVO,4090.0,0,ATR
5J,1683.0,CGY,2400.0,ILO,2429.0,0,319
5J,1683.0,CGY,2400.0,MNL,2397.0,0,320 319
5Z,18946.0,ELL,8492.0,JNB,813.0,0,BEH
7H,16726.0,ATT,4385.0,BET,3599.0,0,CNA
7H,16726.0,CHU,7091.0,CKD,7238.0,0,CNA
7H,16726.0,CKD,7238.0,RDV,7239.0,0,CNA
7H,16726.0,CKD,7238.0,SLQ,7240.0,0,CNA
7H,16726.0,KGX,7219.0,ANV,6713.0,0,CNC
7H,16726.0,KGX,7219.0,SHX,7090.0,0,CNC
7H,16726.0,KKI,9742.0,AKI,7217.0,0,CNA
7H,16726.0,KKI,9742.0,KWT,7095.0,0,CNA
7H,16726.0,NUP,7212.0,ATT,4385.0,0,CNA
7H,16726.0,PHO,6721.0,OTZ,3693.0,0,CNC
7H,16726.0,PHO,6721.0,PIZ,3414.0,0,BE1
7H,16726.0,PQS,7216.0,BET,3599.0,0,CNA
7H,16726.0,PQS,7216.0,MOU,5966.0,0,CNA
7H,16726.0,RDV,7239.0,SLQ,7240.0,0,CNA
7H,16726.0,SRV,7241.0,ANI,5967.0,0,CNA
7H,16726.0,SXP,7200.0,AUK,7199.0,0,CNA
7H,16726.0,SXP,7200.0,KSM,6718.0,0,CNA
7H,16726.0,TLT,7218.0,AKI,7217.0,0,CNA
7H,16726.0,TLT,7218.0,BET,3599.0,0,CNA
7H,16726.0,TNK,8201.0,WWT,8203.0,0,CNC CNA
7H,16726.0,WBB,7193.0,KOT,7207.0,0,CNC
7H,16726.0,WBB,7193.0,OME,3615.0,0,CNC
7H,16726.0,WBB,7193.0,SMK,7191.0,0,CNC
7H,16726.0,WBB,7193.0,UNK,7088.0,0,CNA
7H,16726.0,WTL,7099.0,BET,3599.0,0,CNA
7H,16726.0,WWT,8203.0,BET,3599.0,0,CNA CNC
7P,1500.0,ACU,8204.0,PAC,1869.0,0,DHT
7P,1500.0,BFQ,5955.0,JQE,5840.0,0,DHT
7P,1500.0,GHE,8206.0,PAC,1869.0,0,BNI
7P,1500.0,MPP,8207.0,PAC,1869.0,0,DHT
7P,1500.0,OGM,Unknown,MPP,8207.0,0,DHT
7P,1500.0,OTD,5957.0,SIC,6783.0,0,DHT
7P,1500.0,PVE,7901.0,CZJ,9758.0,0,DHT
7P,1500.0,PYC,7895.0,ACU,8204.0,0,DHT
7P,1500.0,SAX,5958.0,GHE,8206.0,0,BNI
7P,1500.0,SIC,6783.0,PAC,1869.0,0,DHT
7R,1469.0,GRV,6122.0,DME,4029.0,0,CR2
7S,Unknown,KGX,7219.0,SHX,7090.0,0, CNA
8D,1109.0,KOZ,7164.0,ADQ,3531.0,0,CNA
8D,1109.0,OLH,7163.0,ADQ,3531.0,0,CNA
8D,1109.0,ORI,7165.0,ADQ,3531.0,0,CNA
