Airport,Degree Centrality,Closeness Centrality,PageRank,name,country
GKA,0.001342732460557234,0.12090147888614923,0.0002136664270321411,Goroka Airport,Papua New Guinea
MAG,0.0023497818059751594,0.12092753336762746,0.0003554316552976451,Madang Airport,Papua New Guinea
HGU,0.002853306478684122,0.1209449092614945,0.00044828472004594395,Mount Hagen Kagamuga Airport,Papua New Guinea
LAE,0.0030211480362537764,0.1209449092614945,0.00044754711712665475,Nadzab Airport,Papua New Guinea
POM,0.010741859684457872,0.15643826707654881,0.0014296924895737218,Port Moresby Jacksons International Airport,Papua New Guinea
WWK,0.001342732460557234,0.12090147888614923,0.0002195971940173625,Wewak International Airport,Papua New Guinea
UAK,0.0016784155756965425,0.11394559306963191,0.0003336697565337024,Narsarsuaq Airport,Greenland
GOH,0.002685464921114468,0.13157981804054572,0.0005212101562752419,Godthaab / Nuuk Airport,Greenland
SFJ,0.0023497818059751594,0.14288170022158733,0.0004259620393119013,Kangerlussuaq Airport,Greenland
THU,0.0003356831151393085,0.06937982987185715,0.00016045575969608314,Thule Air Base,Greenland
AEY,0.0003356831151393085,0.08804561673696348,0.00013752921493977524,Akureyri Airport,Iceland
EGS,0.0003356831151393085,0.08804561673696348,0.00013752921493977524,Egilsstaðir Airport,Iceland
HFN,0.0,0.0,4.178321781711324e-05,Hornafjörður Airport,Iceland
HZK,0.0,0.0,4.178321781711324e-05,Húsavík Airport,Iceland
IFJ,0.0003356831151393085,0.08804561673696348,0.00013752921493977524,Ísafjörður Airport,Iceland
KEF,0.01107754279959718,0.17412414067136345,0.0005504902104951923,Keflavik International Airport,Iceland
PFJ,0.0,0.0,4.178321781711324e-05,Patreksfjörður Airport,Iceland
RKV,0.001342732460557234,0.10551787589386623,0.0004674924972883794,Reykjavik Airport,Iceland
SIJ,0.0,0.0,4.178321781711324e-05,Siglufjörður Airport,Iceland
VEY,0.0,0.0,4.178321781711324e-05,Vestmannaeyjar Airport,Iceland
YAM,0.001342732460557234,0.14909504844661606,0.00016819695928132472,Sault Ste Marie Airport,Canada
Unknown,0.0,0.0,4.178321781711324e-05,Winnipeg / St. Andrews Airport,Canada
Unknown,0.0,0.0,4.178321781711324e-05,Halifax / CFB Shearwater Heliport,Canada
Unknown,0.0,0.0,4.178321781711324e-05,Princeton Airport,Canada
Unknown,0.0,0.0,4.178321781711324e-05,Pitt Meadows Airport,Canada
Unknown,0.0,0.0,4.178321781711324e-05,Boufarik Airport,Algeria
Unknown,0.0,0.0,4.178321781711324e-05,Reggane Airport,Algeria
Unknown,0.0,0.0,4.178321781711324e-05,Ain Oussera Airport,Algeria
Unknown,0.0,0.0,4.178321781711324e-05,Relizane Airport,Algeria
Unknown,0.0,0.0,4.178321781711324e-05,Bou Sfer Airport,Algeria
Unknown,0.0,0.0,4.178321781711324e-05,Wa Airport,Ghana
Unknown,0.0,0.0,4.178321781711324e-05,Gusau Airport,Nigeria
Unknown,0.0,0.0,4.178321781711324e-05,Dirkou Airport,Niger
Unknown,0.0,0.0,4.178321781711324e-05,Diffa Airport,Niger
Unknown,0.0,0.0,4.178321781711324e-05,Sidi Ahmed Air Base,Tunisia
Unknown,0.0,0.0,4.178321781711324e-05,Remada Air Base,Tunisia
Unknown,0.0,0.0,4.178321781711324e-05,Borj El Amri Airport,Tunisia
Unknown,0.0,0.0,4.178321781711324e-05,Beauvechain Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Kleine Brogel Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Jehonville Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Chièvres Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Koksijde Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Florennes Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Zutendaal Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Limburg Regional Airport,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Saint Hubert Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Ursel Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Weelde Air Base,Belgium
Unknown,0.0,0.0,4.178321781711324e-05,Bautzen Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Dessau Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Eisenhüttenstadt Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Großenhain Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Merseburg Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Halle-Oppin Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Strausberg Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Jena-Schöngleina Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Kyritz Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Rothenburg/Görlitz Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Anklam Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Kamenz Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Allendorf/Eder Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Worms Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Mainz-Finthen Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Flugplatz Dahlemer Binz,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Meinerzhagen Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Arnsberg-Menden Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Stadtlohn-Vreden Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Biberach a.d. Riß Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Eggenfelden Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Mindelheim-Mattsies Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Vilshofen Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Leutkirch-Unterzeil Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Stendal-Borstel Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Aalen-Heidenheim/Elchingen Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Haßfurt-Schweinfurt Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Koblenz-Winningen Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Trier-Föhren Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Speyer Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Freiburg i. Br. Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Mengen-Hohentengen Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Adolf Würth Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Finsterwalde/Schacksdorf Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Hildesheim Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Leer-Papenburg Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Rendsburg-Schachtholm Airport,Germany
Unknown,0.0,0.0,4.178321781711324e-05,Ämari Air Base,Estonia
Unknown,0.0,0.0,4.178321781711324e-05,Eura Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Hameenkyro Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Hanko Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Kiikala Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Immola Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Kemijarvi Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Menkijarvi Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Nummela Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Piikajarvi Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Pudasjärvi Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Pyhäsalmi Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Raahe Pattijoki Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Rantasalmi Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Rayskala Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Selanpaa Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Teisko Airport,Finland
Unknown,0.0,0.0,4.178321781711324e-05,Leicester Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Wolverhampton Halfpenny Green Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Turweston Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Wellesbourne Mountford Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Manchester Woodford Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Royal Marines Base Chivenor Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,MoD Boscombe Down Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RNAS Culdrose,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,MoD St. Athan,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Chalgrove Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Brough Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Retford Gamston Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Llanbedr Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Ternhill,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Shawbury,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Woodvale,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Peterborough Business Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,North Weald Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Sheffield City Heliport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Cranfield Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Wattisham,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,DCAE Cosford Air Base,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Dishforth,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Leeming Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Leeds East Airport,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Cottesmore,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Wittering,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Topcliffe,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Cranwell,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,RAF Barkston Heath,United Kingdom
Unknown,0.0,0.0,4.178321781711324e-05,Budel Airport,Netherlands
Unknown,0.0,0.0,4.178321781711324e-05,Deelen Air Base,Netherlands
Unknown,0.0,0.0,4.178321781711324e-05,Drachten Airport,Netherlands
Unknown,0.0,0.0,4.178321781711324e-05,Casement Air Base,Ireland
Unknown,0.0,0.0,4.178321781711324e-05,Grønholt Hillerød Airport,Denmark
Unknown,0.0,0.0,4.178321781711324e-05,Kruså-Padborg Airport,Denmark
Unknown,0.0,0.0,4.178321781711324e-05,Kolding Vamdrup Airfield,Denmark
Unknown,0.0,0.0,4.178321781711324e-05,Vesthimmerlands Flyveplads,Denmark
Unknown,0.0,0.0,4.178321781711324e-05,Bømoen Airport,Norway
Unknown,0.0,0.0,4.178321781711324e-05,Kjeller Airport,Norway
Unknown,0.0,0.0,4.178321781711324e-05,Babice Airport,Poland
Unknown,0.0,0.0,4.178321781711324e-05,Muchowiec Airport,Poland
Unknown,0.0,0.0,4.178321781711324e-05,Mielec Airport,Poland
Unknown,0.0,0.0,4.178321781711324e-05,Swidwin Military Air Base,Poland
Unknown,0.0,0.0,4.178321781711324e-05,Malmen Air Base,Sweden
Unknown,0.0,0.0,4.178321781711324e-05,Bråvalla Air Base,Sweden
Unknown,0.0,0.0,4.178321781711324e-05,Uppsala Airport,Sweden
Unknown,0.0,0.0,4.178321781711324e-05,Råda Air Base,Sweden
Unknown,0.0,0.0,4.178321781711324e-05,Falköping Airport,Sweden
Unknown,0.0,0.0,4.178321781711324e-05,Karlsborg Air Base,Sweden
