airline,count
FR,2484
AA,2354
UA,2180
DL,1981
US,1960
CZ,1454
MU,1263
CA,1260
WN,1146
U2,1130
AF,1071
LH,923
AZ,877
IB,831
KL,830
ZH,815
AB,798
FL,726
AC,705
TK,658
DY,576
HU,555
BA,549
NH,547
AS,530
SK,504
TO,488
SU,473
4U,470
W6,463
QF,432
AM,431
B6,399
AD,397
AI,393
3U,392
JL,388
MF,386
VY,384
SV,383
G4,378
GS,358
WS,341
ET,337
MH,336
DE,334
JJ,333
G3,332
AY,328
SC,314
LS,302
UN,300
KE,292
9W,292
LX,290
VA,290
EK,289
AV,286
LA,285
S7,281
QR,278
BE,268
OZ,262
JT,251
GA,248
PC,242
PK,242
NK,242
OS,240
AT,240
AH,234
HV,233
NZ,233
U6,232
TP,229
EY,228
6E,227
X3,226
EI,226
7H,224
A3,222
F9,222
JD,214
CX,213
SQ,212
VN,211
WF,210
ZB,210
MS,205
SA,202
Y4,197
SG,196
VS,195
FM,193
TG,193
SN,190
IR,186
5J,184
CM,184
EP,183
S2,180
AK,180
IG,173
CI,172
JQ,163
UX,158
9C,155
AR,154
HY,151
TU,151
A5,150
FZ,148
HO,145
PR,144
KQ,142
TOM,139
TS,138
V7,136
G9,130
8L,130
PS,127
GL,126
TCX,125
RJ,122
LO,120
KC,118
BR,118
4O,114
OU,112
BT,112
HG,111
OK,111
OA,110
LG,110
XY,110
SJ,106
BK,106
O6,104
VB,102
XQ,99
KN,98
WY,98
VT,97
PX,97
ST,96
IY,96
KA,96
G5,94
UL,93
MI,93
GE,92
FD,92
NF,92
RO,92
PN,90
HQ,88
AP,88
ZL,88
R3,87
9K,86
KM,84
B2,82
CG,82
S4,81
DV,80
EU,80
V0,80
KU,79
Y7,78
G8,77
GF,77
JU,77
W3,76
UR,76
TR,76
9R,76
IX,76
MD,75
WT,75
PG,75
7F,74
8E,74
HA,74
LN,74
LY,73
IOS,72
ZI,72
7R,72
DT,71
QS,67
3M,67
VX,66
FJ,66
5T,65
ME,65
NL,64
BW,64
3H,64
LI,62
NS,62
QZ,62
YC,62
W2,62
ZK,61
IE,60
CU,59
Q6,58
UP,58
QG,58
BC,58
FB,56
AE,56
NX,56
TM,54
J2,54
FI,53
MJ,52
MO,52
KY,52
9N,50
B7,50
PB,50
H2,49
BV,49
HX,49
EQ,48
SZ,48
QV,48
B9,46
9M,46
DD,46
BG,46
2Z,46
NT,46
9E,46
OD,46
7I,45
3O,44
8U,44
MK,43
TV,42
WU,42
VW,42
XK,42
2B,42
TT,42
BU,41
2N,41
WB,40
FY,40
JP,40
JV,39
8V,39
Z8,39
K5,39
WJ,38
VR,38
P6,38
F7,38
9U,38
SY,38
D7,36
GQ,36
TF,36
4Y,36
3K,36
BJ,36
K2,36
YN,36
8Q,36
SW,35
8R,35
2P,34
BB,34
