dest_airport,count
ATL,911
ORD,550
PEK,534
LHR,524
CDG,517
LAX,498
FRA,493
DFW,467
JFK,455
AMS,450
PVG,414
SIN,412
BCN,392
DEN,374
ICN,370
MIA,366
IST,361
MUC,360
HKG,355
DXB,354
LGW,352
CAN,336
MAD,331
FCO,331
BKK,330
DME,325
CTU,323
YYZ,317
BRU,315
MAN,311
VIE,308
CLT,299
NRT,289
PHL,287
DUS,285
XIY,280
PMI,277
KMG,272
CKG,270
DEL,263
TPE,263
KUL,257
PHX,257
HGH,254
LAS,252
EWR,252
SFO,250
ZRH,247
IAH,242
MEX,242
MCO,238
AUH,236
SZX,233
XMN,233
CPH,228
BOM,225
LIS,221
ARN,220
DTW,217
BOS,212
MSP,212
TXL,210
DUB,207
ATH,206
SHA,206
AGP,204
ORY,203
SYD,202
SEA,202
SVO,198
GRU,194
MXP,194
MNL,193
DCA,192
IAD,190
FLL,188
DOH,188
TAO,188
CSX,188
WUH,187
YUL,186
LED,184
JED,183
OSL,183
CGK,182
PRG,181
CGO,174
STN,170
NKG,165
GVA,163
JNB,162
HEL,161
HAM,160
TFS,159
LGA,158
HND,158
ALC,157
YVR,157
BOG,155
CUN,154
LPA,154
URC,153
CAI,152
KIX,152
TSN,147
SAW,145
BWI,144
BNE,144
DLC,143
LYS,140
RUH,139
TPA,138
KWE,137
SLC,137
STR,136
SHE,136
TLV,135
TNA,135
NCE,134
FOC,133
MDW,132
MEL,132
BHX,131
CGN,131
HRB,130
MRS,129
NBO,128
AYT,126
MSY,125
CMN,125
VCE,123
WAW,120
SAN,119
KWI,119
CTA,118
EDI,118
AKL,117
ACE,117
PDX,117
LIM,115
OTP,115
HNL,115
NNG,114
MLA,113
YYC,113
AMM,112
TYN,110
HER,109
ADD,109
SYX,109
SGN,109
KWL,107
STL,107
HAK,107
PTY,106
LTN,106
FAO,105
MAA,104
MCT,104
IBZ,103
OPO,102
CMB,102
SJU,102
DPS,101
RIX,101
SVX,101
KBP,100
BRS,100
BSB,99
SHJ,98
BLR,98
BUD,97
EMA,97
LCA,97
CCU,97
GIG,96
GLA,96
FUE,95
BSL,94
GDL,92
NTE,91
CCS,91
OVB,90
PER,90
BLQ,88
TUN,88
ALG,88
HET,87
SKG,87
HAN,87
KHN,86
RHO,86
BAH,86
FUK,85
BEG,85
VKO,85
NGO,85
NGB,84
CRL,84
AUS,84
LHW,84
RDU,84
TLS,83
SXF,82
SJW,82
DMM,82
BNA,82
BGY,81
VLC,81
WNZ,81
NCL,81
CTS,81
PUS,80
CLE,80
LBA,80
NAY,80
NAP,79
SCL,79
TAS,79
MFM,79
HFE,77
MCI,77
HAJ,76
PSA,76
CVG,75
PIT,74
EZE,74
DAC,74
SJO,73
MTY,73
HYD,73
RAK,72
YEG,71
LUX,70
PUJ,70
HOU,70
IND,69
NAS,68
SAT,68
BGO,68
EIN,67
ALA,67
DMK,67
ADB,67
BOD,67
DKR,67
HKT,67
CGQ,67
SOF,66
INC,66
LCY,66
SUB,66
BEY,66
RSW,65
CMH,65
KHH,64
LJG,64
GYD,64
MHD,63
KHI,63
BIO,63
THR,63
AEP,63
PMO,63
SVQ,62
IKA,62
OKA,62
DBV,61
SJC,60
MKE,60
LIN,60
BVA,60
ANC,59
DLM,59
ISB,59
COK,59
MED,59
CJU,59
LOS,59
ZUH,59
LPL,58
SSA,58
VNO,58
VCP,57
KRK,57
OAK,57
YNT,56
SXM,56
UPG,56
LHE,55
CNF,55
MEM,54
DYU,54
CNS,54
GOT,54
MSQ,54
ACC,53
SMF,53
CFU,53
FLR,53
ESB,53
FNC,52
BKI,52
SAL,52
SVG,52
OLB,52
TSE,52
YHZ,52
BDL,52
ABJ,52
ADL,51
POM,50
BRI,50
SJD,50
XNN,50
CIA,50
BRE,50
RGN,50
GDN,50
GRO,49
CEB,48
SDQ,48
SFB,48
SPU,48
NUE,47
DLA,47
KJA,47
CGH,47
BLL,47
CNX,47
HHN,47
WUX,47
KGS,47
TIP,47
KEF,46
AUA,46
CHQ,46
LAD,46
PVR,45
FRU,45
NBE,45
KRR,45
EVN,45
JAX,45
KTM,44
DRW,44
PBI,44
MBJ,44
YOW,44
DWC,44
JJN,44
POA,44
SNA,44
CAG,43
PFO,43
CWB,43
ZAG,43
PEN,42
TRD,42
SDF,42
TRN,42
TRV,42
OGG,42
ITM,42
CPT,42
HAV,42
MRU,41
MLE,41
IKT,41
ABQ,41
ABZ,41
OKC,41
TIJ,41
NAN,40
GUA,40
TSA,40
YWG,40
LIL,40
KRT,40
SSH,39
GMP,39
REP,39
PPT,39
UIO,39
COO,39
HBE,39
LEJ,39
HRG,39
SYZ,39
AJA,39
RIC,38
YKS,38
TLL,38
VRN,38
TSF,38
ORF,38
JER,38
SAH,38
CHC,38
KGL,38
NRN,38
TRF,37
RYG,37
KHV,37
CZX,37
BIA,36
GYE,36
DAL,36
BPN,36
SWA,36
REC,36
TIA,36
DJE,36
MAH,36
PNQ,35
AMD,35
FOR,35
BHM,35
OMA,35
POS,35
CHS,35
BUF,35
GUM,35
TBS,35
SXB,35
SZG,35
DTM,34
MYR,34
KIV,34
ANU,34
BEL,34
ORN,34
BFS,34
TFN,34
SCQ,34
ORK,34
SOU,33
WRO,33
OUA,33
LBD,33
LUN,33
