source_airport,count
ATL,915
ORD,558
PEK,535
LHR,527
CDG,524
FRA,497
LAX,492
DFW,469
JFK,456
AMS,453
PVG,411
SIN,408
BCN,391
ICN,370
MUC,368
MIA,368
DEN,361
IST,358
DXB,356
LGW,356
HKG,355
CAN,338
FCO,331
MAD,330
BKK,326
CTU,324
DME,324
YYZ,319
MAN,316
BRU,316
VIE,308
CLT,301
PHL,289
NRT,286
DUS,285
XIY,283
KMG,273
PMI,271
CKG,270
TPE,264
DEL,264
KUL,257
EWR,253
HGH,252
PHX,251
SFO,249
ZRH,247
LAS,246
IAH,243
MEX,243
AUH,241
MCO,237
SZX,234
XMN,233
CPH,229
BOM,227
ARN,219
MSP,218
DTW,216
LIS,214
BOS,212
SYD,208
TXL,208
DUB,207
AGP,206
SHA,205
SEA,201
ORY,201
SVO,199
ATH,197
DCA,196
IAD,196
JED,194
MNL,193
GRU,193
MXP,192
CSX,189
DOH,189
TAO,188
WUH,187
FLL,186
CGK,185
YUL,185
LED,184
OSL,180
PRG,180
CGO,174
STN,173
GVA,166
NKG,165
HAM,161
TFS,159
JNB,159
HEL,159
YVR,158
LGA,158
CUN,157
HND,157
ALC,157
LPA,154
URC,153
BNE,152
BOG,152
KIX,152
CAI,151
TSN,147
SAW,145
DLC,142
BWI,142
SLC,141
MDW,139
TPA,138
STR,137
MEL,137
KWE,137
RUH,137
MRS,136
SHE,136
TLV,136
TNA,135
LYS,135
NCE,135
CGN,134
BHX,133
FOC,133
NBO,130
HRB,129
AYT,127
CMN,125
MSY,123
VCE,122
KWI,120
WAW,120
EDI,119
SAN,119
HNL,118
ACE,116
LIM,115
YYC,115
CTA,115
STL,114
NNG,114
MLA,113
PDX,113
OTP,112
AMM,111
HER,110
TYN,110
SYX,109
SGN,109
HAK,108
LTN,108
MAA,107
KWL,107
PTY,106
FAO,106
ADD,105
MCT,104
SJU,102
KBP,102
CMB,101
RIX,101
DPS,100
OPO,100
GLA,100
BRS,100
IBZ,99
GIG,98
BSB,98
BUD,98
SVX,98
CCU,97
SHJ,97
BLR,97
FUE,97
AKL,96
EMA,95
BSL,95
LCA,93
GDL,93
PER,92
NTE,92
CCS,90
BLQ,88
ALG,88
SKG,87
OVB,87
HAN,87
TUN,87
HET,87
KHN,86
BEG,86
VKO,86
FUK,85
BAH,84
NCL,84
NGB,84
LHW,84
CRL,84
NGO,84
AUS,83
RDU,83
SXF,83
RHO,82
MCI,82
DMM,82
SJW,82
BNA,82
VLC,82
TAS,81
WNZ,81
CTS,81
BGY,81
CLE,81
PUS,80
NAY,80
LBA,80
NAP,79
SCL,79
MFM,79
HOU,79
TLS,78
HFE,77
PSA,76
HAJ,76
SJO,76
CVG,75
EZE,75
PIT,74
DAC,74
HYD,74
PUJ,73
RAK,73
MTY,72
HKT,71
LUX,70
IND,69
BGO,69
EIN,68
SAT,68
YEG,68
ALA,67
BOD,67
NAS,67
DKR,67
BEY,67
DMK,67
ADB,66
SOF,66
KHH,65
SVQ,65
MHD,65
AEP,65
MKE,65
LJG,65
INC,65
SUB,65
BIO,65
GYD,64
CGQ,64
PMO,63
CMH,63
RSW,63
THR,62
KHI,62
LCY,62
OKA,61
SJC,60
LIN,60
IKA,60
DBV,60
ZUH,60
LOS,60
BVA,60
COK,59
CJU,59
ANC,59
SXM,58
SSA,58
ISB,58
VNO,58
LPL,58
MEM,58
VCP,57
DLM,57
KRK,57
CNS,56
YNT,56
UPG,56
LHE,56
SMF,55
CNF,55
SVG,54
MSQ,54
OAK,54
ACC,54
FLR,53
SAL,53
OLB,52
FNC,52
GOT,52
BKI,52
POM,52
TSE,52
DYU,52
ESB,52
SJD,51
GDN,51
DLA,51
BDL,51
ADL,51
CFU,50
ABJ,50
CIA,50
BRE,50
BRI,50
SPU,49
CEB,49
XNN,49
GRO,49
SFB,49
RGN,49
TIP,48
DWC,48
NUE,48
CNX,48
PVR,47
CGH,47
WUX,47
BLL,47
HHN,47
JAX,46
KRR,46
DRW,46
LAD,46
FRU,45
SDQ,45
MBJ,45
EVN,45
HAV,45
KEF,45
YOW,45
NBE,45
KJA,45
AUA,44
CPT,44
CHQ,44
JJN,44
TRD,44
PBI,44
KTM,44
TRN,44
MLE,44
CAG,43
KGS,43
YHZ,43
NAN,43
CWB,43
SNA,42
PEN,42
TIJ,42
TRV,42
PFO,42
OGG,42
ZAG,42
POA,42
ITM,42
ABQ,42
REP,42
HBE,42
COO,41
IKT,41
ABZ,41
MRU,41
SDF,41
YWG,41
KRT,41
OKC,40
TSA,40
HRG,40
LIL,40
LEJ,40
KGL,40
VRN,39
SYZ,39
UIO,39
MED,39
AJA,39
DAL,39
GMP,39
TLL,38
TSF,38
NRN,38
RIC,38
PPT,38
KHV,38
JER,38
SSH,38
YKS,38
TRF,37
GUA,37
RYG,37
SAH,37
CZX,37
DJE,37
FOR,36
BFS,36
BEL,36
BIA,36
BHM,36
TIA,36
ORF,36
BUF,36
REC,36
BPN,36
SCQ,36
GYE,35
GUM,35
DAR,35
SWA,35
AMD,35
POS,35
ANU,35
KIV,34
LUN,34
CHC,34
SXB,34
EBB,34
STT,34
TBS,34
CHS,34
ORK,34
MAH,34
SZG,34
MYR,34
ORN,34
OMA,34
SOU,33
OUA,33
DAD,33
WRO,33
LJU,33
PNQ,33
RTM,33
DTM,33
CGB,33
LBD,33
CWL,32
WLG,32
DAY,32
MAO,32
TFN,32
AZA,32
OSS,31
GAU,31
TUS,31
CUR,31
ALB,31
NYO,31
AHO,31
BJV,31
TYS,31
SDJ,31
PIE,31
PLS,31
CCJ,31
LXA,30
KIN,30
EBL,30
PEW,30
YZF,30
ABV,30
CLO,30
SDU,30
ROC,30
SNN,29
PTP,29
GOI,29
SZB,29
LIT,29
BAV,29
JOG,29
RMQ,29
BET,29
YCU,29
DSM,29
PNH,29
GSP,29
KTW,28
YQB,28
BKO,28
GRR,28
ROV,28
VLI,28
AGA,28
KBL,28
KZN,28
OOL,28
BZE,28
TPS,28
TNR,27
PVD,27
BMA,27
TUL,27
RNO,27
FAI,27
FIH,27
KUF,27
BTH,27
WMI,26
AER,26
KCH,26
VVO,26
LPB,26
ZAD,26
TXN,26
TOS,26
MDE,26
PSP,26
HRE,26
SYR,26
HMO,25
YRT,25
GSO,25
BEN,25
SUF,25
HIR,25
DSN,25
GCM,25
VTE,25
EXT,25
OME,25
BZV,25
LIR,24
AWZ,24
ELP,24
ONT,24
VVI,24
MPL,24
YIH,24
MYY,24
XNA,24
LBV,24
PAP,24
JHG,24
SKP,24
JIB,23
FDF,23
HPN,23
PDL,23
BGI,23
FMM,23
UFA,23
BWN,23
ADE,23
MVD,23
SAP,23
SAV,23
FNA,22
DRS,22
TJM,22
KTN,22
YZV,22
MIG,22
YYT,22
OTZ,22
CAK,22
MRV,22
BDS,22
XRY,22
IEV,22
PIK,21
PNS,21
BDO,21
DYG,21
ULN,21
CLJ,21
LIH,21
FLN,21
PRN,21
GYN,21
DUR,21
BHD,21
POZ,21
SCO,21
GSE,21
BOI,21
MDC,21
PMV,20
CEK,20
GOA,20
BHY,20
JRO,20
BTS,20
FKB,20
MJV,20
MDT,20
LEX,20
AAL,20
XUZ,20
ICT,20
KOA,20
JNU,20
FAT,20
LFW,20
IFN,20
SID,20
MHT,20
CLY,20
RUN,19
UVF,19
GRZ,19
TNG,19
BOH,19
ZHA,19
RAO,19
WIL,19
SDR,19
REU,19
WDH,19
KUN,19
BND,19
GOJ,18
BOO,18
KOJ,18
KLO,18
YTY,18
HSV,18
YIW,18
PGD,18
YXL,18
ASU,18
YFB,18
PKU,18
CKY,18
BUR,18
FEZ,18
LEI,18
GCI,18
ODS,18
NTG,18
LYI,18
JAN,18
LGB,18
USM,18
JHB,18
NDR,18
VTZ,18
HLD,18
LKO,18
TGU,18
PNR,18
DJJ,17
HIJ,17
NSI,17
KMQ,17
MDL,17
BES,17
YNZ,17
OVD,17
JAI,17
MSN,17
CGR,17
CID,17
RAI,17
ISP,17
LWO,17
NGS,17
NIM,17
OMS,17
LGK,17
CAE,17
MPM,17
DOM,17
ADA,17
SRG,17
CJB,17
TGD,16
LYG,16
KIJ,16
JZH,16
YWK,16
ROB,16
SJJ,16
MMX,16
KIH,16
EYW,16
CHA,16
ZTH,16
YQR,16
LOP,16
CGP,16
JDZ,16
CZL,16
KBV,16
IXB,16
IDR,16
POP,16
FWA,16
UUS,16
CIH,16
TSV,16
VIX,16
VER,16
CZM,16
CUL,16
CUU,16
NUX,16
NAT,16
SLZ,16
MIR,15
KGD,15
YXE,15
BDJ,15
YYR,15
JTR,15
CIF,15
NSK,15
IXE,15
STM,15
FPO,15
AHB,15
DOK,15
TBZ,15
GEG,15
MZT,15
UDI,15
YLW,15
MID,15
BDA,15
ROA,15
WUS,15
PUY,15
DZA,15
NAG,15
NOC,15
TLH,15
PIA,15
ASB,15
RTB,15
ZYI,15
MLI,15
MGA,15
BIQ,14
FSC,14
FAR,14
KBR,14
GND,14
AMQ,14
SEN,14
MHH,14
SXR,14
HYN,14
MAR,14
RAR,14
BJX,14
SSG,14
SGF,14
YNJ,14
FNT,14
EUG,14
PLM,14
TTN,14
DNK,14
NJC,14
ISG,14
MBA,14
ECN,14
DVO,14
YTZ,14
BGW,14
SGC,14
UET,14
LZH,14
AJU,13
TLC,13
RNS,13
YQT,13
BTV,13
HSN,13
LZO,13
TGO,13
SRQ,13
VRA,13
BJM,13
ISA,13
NOU,13
PLU,13
YYJ,13
ILM,13
CRK,13
KHG,13
AES,13
SEZ,13
COS,13
LPQ,13
BJL,13
RAB,13
COR,13
CBR,13
CHO,13
MCZ,13
FDH,13
KOW,13
OKJ,13
ABE,13
JMK,13
VSA,13
XFN,13
TIF,13
FSD,13
TSR,13
MAB,12
BOJ,12
ANI,12
BIL,12
RPR,12
UKB,12
NMA,12
LNZ,12
HAU,12
IXJ,12
EIS,12
PAT,12
IGU,12
MYJ,12
YMM,12
GNV,12
CJS,12
AVL,12
BMI,12
MUX,12
LLW,12
SUV,12
NKC,12
ELQ,12
HIA,12
WXN,12
UYN,12
MRA,12
LCG,12
IAS,12
TMP,12
CTG,12
JUB,12
RIY,12
BRN,12
BVC,12
BME,12
BLA,11
PZO,11
SON,11
ADQ,11
SPR,11
UUD,11
EOH,11
CUZ,11
EGO,11
ZNZ,11
INV,11
STI,11
TIV,11
FMO,11
EGC,11
ASP,11
SBH,11
PVK,11
PAD,11
HOG,11
THE,11
LIG,11
RZE,11
SKT,11
SBN,11
RBA,11
IOM,11
NJF,11
SKB,11
CEI,11
ZAH,11
DAT,11
NZH,11
TRS,11
VGO,11
SLU,11
ANF,11
KRS,11
KMI,11
FUG,11
ADZ,11
HTA,11
MLH,11
BPS,11
JPA,11
LDB,11
IXZ,11
IXR,11
LAE,11
KOI,11
YQM,10
VNS,10
GGT,10
MGF,10
GUW,10
FBM,10
LXR,10
CCF,10
LBB,10
OUD,10
MRY,10
YVP,10
MJT,10
YXS,10
ACY,10
KLX,10
JNG,10
TER,10
BAQ,10
MLM,10
VOG,10
TRC,10
