source_city,dest_city,num_airlines
Aalborg,Aarhus,1
Aalborg,Alicante,1
Aalborg,Istanbul,1
Aalborg,London,1
Aalborg,Malaga,1
Aalborg,Palma de Mallorca,1
Aalborg,Stavanger,1
Aalborg,Stockholm,1
Aarhus,Aalborg,1
Aarhus,Copenhagen,1
Aarhus,Gothenborg,1
Aarhus,London,1
Aarhus,Malaga,1
Aarhus,Oslo,1
Aarhus,Palma de Mallorca,1
Aarhus,Stockholm,1
Aasiaat,Ilulissat,1
Aasiaat,Sisimiut,1
Aasiaat,Sondrestrom,1
Abadan,Shiraz,1
Abakan,Irkutsk,1
Abakan,Norilsk,1
Abbotsford,Calgary,1
Abbotsford,Edmonton,1
Aberdeen,Amsterdam,1
Aberdeen,Belfast,1
Aberdeen,Birmingham,1
Aberdeen,Bristol,1
Aberdeen,Copenhagen,1
Aberdeen,Dublin,1
Aberdeen,East Midlands,1
Aberdeen,Esbjerg,1
Aberdeen,Frankfurt,1
Aberdeen,Humberside,1
Aberdeen,Kirkwall,1
Aberdeen,Kristiansund,1
Aberdeen,Leeds,1
Aberdeen,Minneapolis,1
Aberdeen,Newcastle,1
Aberdeen,Riga,1
Aberdeen,Stornoway,1
Aberdeen,Sumburgh,1
Aberdeen,Teesside,1
Aberdeen,Wick,1
Abha,Aden,1
Abha,Dammam,1
Abha,Dubai,1
Abha,Madinah,1
Abha,Sanaa,1
Abha,Sharjah,1
Abha,Tabuk,1
Abha,Taif,1
Abidjan,Algier,1
Abidjan,Bobo-dioulasso,1
Abidjan,Casablanca,1
Abidjan,Douala,1
Abidjan,Freetown,1
Abidjan,Istanbul,1
Abidjan,Libreville,1
Abidjan,Monrovia,1
Abidjan,Nairobi,1
Abidjan,Tunis,1
Ablow,Gaua Island,1
Ablow,Loh/Linua,1
Ablow,Sola,1
Abu Dhabi,Aden,1
Abu Dhabi,Baghdad,1
Abu Dhabi,Basrah,1
Abu Dhabi,Dhaka,1
Abu Dhabi,Dubai,1
Abu Dhabi,Erbil,1
